"","year","iso3","mmr","scenario"
"1","2000","RWA",1007,"-0.068 (Current rate of change)"
"2","2000","NGA",1148,"-0.005 (Current rate of change)"
"3","2000","CPV",125.1,"-0.054 (Current rate of change)"
"4","2000","GNB",1300,"-0.029 (Current rate of change)"
"5","2000","CAF",1315,"-0.023 (Current rate of change)"
"6","2000","TCD",1366,"-0.013 (Current rate of change)"
"7","2000","DZA",159.2,"-0.036 (Current rate of change)"
"8","2000","SLE",1682,"-0.067 (Current rate of change)"
"9","2000","SSD",1687,"-0.016 (Current rate of change)"
"10","2000","ZAF",173,"-0.016 (Current rate of change)"
"11","2000","STP",179.5,"-0.01 (Current rate of change)"
"12","2000","BWA",181.6,"0.001 (Current rate of change)"
"13","2000","GAB",248.5,"-0.005 (Current rate of change)"
"14","2000","ZWE",387.8,"-0.004 (Current rate of change)"
"15","2000","ZMB",418.7,"-0.057 (Current rate of change)"
"16","2000","GNQ",426.6,"-0.035 (Current rate of change)"
"17","2000","SYC",44.32,"-0.129 (Current rate of change)"
"18","2000","NAM",450.3,"-0.037 (Current rate of change)"
"19","2000","COM",455.7,"-0.037 (Current rate of change)"
"20","2000","UGA",461.5,"-0.024 (Current rate of change)"
"21","2000","BEN",469.3,"0.005 (Current rate of change)"
"22","2000","CIV",473.5,"0.001 (Current rate of change)"
"23","2000","TGO",479.3,"-0.009 (Current rate of change)"
"24","2000","GHA",498.9,"-0.032 (Current rate of change)"
"25","2000","BFA",505.6,"-0.033 (Current rate of change)"
"26","2000","MUS",52.17,"0.024 (Current rate of change)"
"27","2000","MOZ",532.1,"-0.072 (Current rate of change)"
"28","2000","LSO",544.6,"0.002 (Current rate of change)"
"29","2000","KEN",563.8,"-0.003 (Current rate of change)"
"30","2000","MWI",573.5,"-0.02 (Current rate of change)"
"31","2000","SWZ",588.3,"-0.045 (Current rate of change)"
"32","2000","SEN",638.4,"-0.045 (Current rate of change)"
"33","2000","CMR",650.7,"-0.02 (Current rate of change)"
"34","2000","MDG",658.1,"-0.026 (Current rate of change)"
"35","2000","COG",659.8,"-0.042 (Current rate of change)"
"36","2000","COD",667.7,"-0.01 (Current rate of change)"
"37","2000","MRT",683.6,"-0.019 (Current rate of change)"
"38","2000","ERI",734.6,"-0.041 (Current rate of change)"
"39","2000","MLI",742.3,"-0.026 (Current rate of change)"
"40","2000","TZA",760.1,"-0.058 (Current rate of change)"
"41","2000","LBR",777.4,"-0.009 (Current rate of change)"
"42","2000","GMB",777.7,"-0.026 (Current rate of change)"
"43","2000","AGO",859.9,"-0.068 (Current rate of change)"
"44","2000","NER",866.8,"-0.034 (Current rate of change)"
"45","2000","BDI",873.6,"-0.028 (Current rate of change)"
"46","2000","ETH",952.8,"-0.064 (Current rate of change)"
"47","2000","GIN",970.9,"-0.028 (Current rate of change)"
"48","2001","CPV",103.4,"-0.054 (Current rate of change)"
"49","2001","NGA",1127,"-0.005 (Current rate of change)"
"50","2001","GNB",1203,"-0.029 (Current rate of change)"
"51","2001","CAF",1284,"-0.023 (Current rate of change)"
"52","2001","TCD",1343,"-0.013 (Current rate of change)"
"53","2001","DZA",155.6,"-0.036 (Current rate of change)"
"54","2001","SLE",1610,"-0.067 (Current rate of change)"
"55","2001","SSD",1654,"-0.016 (Current rate of change)"
"56","2001","ZAF",168.3,"-0.016 (Current rate of change)"
"57","2001","STP",181.6,"-0.01 (Current rate of change)"
"58","2001","BWA",183.9,"0.001 (Current rate of change)"
"59","2001","GAB",243.4,"-0.005 (Current rate of change)"
"60","2001","ZMB",362.6,"-0.057 (Current rate of change)"
"61","2001","SYC",37.77,"-0.129 (Current rate of change)"
"62","2001","GNQ",390.1,"-0.035 (Current rate of change)"
"63","2001","COM",434.8,"-0.037 (Current rate of change)"
"64","2001","NAM",449.9,"-0.037 (Current rate of change)"
"65","2001","UGA",452.8,"-0.024 (Current rate of change)"
"66","2001","GHA",470,"-0.032 (Current rate of change)"
"67","2001","TGO",478.6,"-0.009 (Current rate of change)"
"68","2001","BEN",483.2,"0.005 (Current rate of change)"
"69","2001","CIV",495.5,"0.001 (Current rate of change)"
"70","2001","MUS",49.92,"0.024 (Current rate of change)"
"71","2001","BFA",499.6,"-0.033 (Current rate of change)"
"72","2001","MOZ",500.8,"-0.072 (Current rate of change)"
"73","2001","MWI",530.9,"-0.02 (Current rate of change)"
"74","2001","KEN",567.1,"-0.003 (Current rate of change)"
"75","2001","LSO",574.6,"0.002 (Current rate of change)"
"76","2001","ZWE",589.2,"-0.004 (Current rate of change)"
"77","2001","SEN",596.2,"-0.045 (Current rate of change)"
"78","2001","SWZ",600.3,"-0.045 (Current rate of change)"
"79","2001","MDG",627.2,"-0.026 (Current rate of change)"
